1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0,64,0,0,0,0,0,1,0,0,0,0,0,162,1,0,59,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,104,4,175,0,0,0,3,2,3,2,0,0,0,0,0,0
86,163,166,237,53,73,58,83,94,56,39,75,187,201,139,321,94,109,157,305,0,0,0,0,0,0
6,0,0,11,1,2,8,18,3,5,2,7,55,2,15,58,18,46,64,28,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,4,3,5,0,1,55,1,15,55,18,45,61,7,0,0,0,0,0,0
6,0,0,11,1,2,4,14,0,0,1,6,0,1,0,3,0,0,3,21,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,21,10,13,13,22,13,14,20,18,18,42,25,18,23,26,9,13,32,52,0,0,0,0,0,0
28,21,10,13,13,22,13,14,20,18,18,42,25,18,23,26,9,13,32,52,0,0,0,0,0,0
19,122,137,46,21,25,12,18,34,19,13,8,37,41,23,28,53,11,22,28,0,0,0,0,0,0
19,77,65,45,18,17,9,14,23,18,11,6,6,27,17,21,46,7,11,16,0,0,0,0,0,0
0,45,72,1,3,8,3,4,11,1,2,2,31,14,6,7,7,4,11,12,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,5,163,12,14,14,10,9,1,2,12,58,136,70,209,5,28,24,185,0,0,0,0,0,0
3,7,3,160,12,13,9,7,7,1,2,12,57,129,67,123,3,28,21,182,0,0,0,0,0,0
2,1,2,3,0,1,5,3,2,0,0,0,1,7,3,86,2,0,3,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12,14,4,6,10,11,23,28,13,4,6,12,4,8,0,9,11,15,12,0,0,0,0,0,0
28,12,14,4,6,10,11,21,11,5,2,6,10,4,5,0,9,11,15,12,0,0,0,0,0,0
0,0,0,0,0,0,0,2,17,8,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
933,955,761,1229,1065,558,417,699,710,598,667,823,674,719,525,588,295,699,688,371,0,0,0,0,0,0
575,431,521,431,545,458,266,474,592,327,238,479,421,319,203,287,77,96,127,27,0,0,0,0,0,0
0,0,0,0,0,137,37,96,39,101,0,0,84,0,0,2,9,2,4,4,0,0,0,0,0,0
564,275,153,381,360,247,213,368,553,226,37,308,225,88,71,168,0,88,88,0,0,0,0,0,0,0
0,0,114,0,0,0,0,0,0,0,104,88,69,0,0,0,0,0,0,0,0,0,0,0,0,0
0,142,238,49,185,74,0,0,0,0,96,82,17,184,132,77,60,0,31,22,0,0,0,0,0,0
0,14,0,1,0,0,16,10,0,0,1,1,26,47,0,40,7,6,4,1,0,0,0,0,0,0
11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,1,3,1,3,12,4,2,48,0,1,0,3,0,94,0,1,86,171,0,0,0,0,0,0
2,0,1,3,1,3,12,4,2,48,0,1,0,3,0,94,0,1,86,171,0,0,0,0,0,0
198,262,102,677,463,42,95,154,73,177,252,235,144,148,63,59,92,21,168,52,0,0,0,0,0,0
155,196,26,250,1,0,0,0,0,1,2,1,0,0,1,0,1,2,3,5,0,0,0,0,0,0
5,10,32,30,6,12,31,6,7,5,237,163,127,129,15,11,26,2,97,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,376,332,2,0,0,1,1,1,1,0,0,0,2,1,4,0,0,0,0,0,0,0,0
34,38,25,18,50,26,28,17,31,32,9,18,10,16,42,27,60,10,13,22,0,0,0,0,0,0
0,15,18,3,74,2,36,131,34,138,3,52,7,3,5,19,4,3,55,14,0,0,0,0,0,0
34,28,16,11,12,8,13,13,16,27,10,14,4,40,64,22,9,134,134,47,0,0,0,0,0,0
6,7,8,1,3,2,2,3,11,23,6,11,4,35,53,19,7,132,126,38,0,0,0,0,0,0
28,21,8,10,9,6,11,10,5,4,4,3,0,5,11,3,2,2,8,9,0,0,0,0,0,0
124,211,50,106,44,47,29,40,27,19,167,74,104,208,195,126,113,177,163,74,0,0,0,0,0,0
85,181,16,18,16,16,8,22,19,6,11,28,38,15,14,4,60,98,15,5,0,0,0,0,0,0
15,20,25,81,17,19,21,12,5,8,10,14,23,14,26,19,10,13,22,26,0,0,0,0,0,0
24,10,9,7,11,12,0,6,3,4,2,3,6,12,3,9,3,9,3,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,144,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,37,167,152,94,40,57,123,40,0,0,0,0,0,0
0,23,71,1,0,0,2,14,0,0,0,20,1,1,0,0,4,270,10,0,0,0,0,0,0,0
0,23,71,1,0,0,2,14,0,0,0,20,1,1,0,0,4,270,10,0,0,0,0,0,0,0
550,834,342,187,139,48,53,303,146,192,164,77,491,182,40,316,868,549,879,1307,0,0,0,0,0,0
0,8,10,1,16,0,5,0,0,1,0,4,3,4,0,3,1,9,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,10,1,16,0,5,0,0,1,0,4,3,4,0,3,1,9,1,3,0,0,0,0,0,0
460,765,176,83,99,3,23,180,124,89,106,36,401,164,23,155,80,258,131,869,0,0,0,0,0,0
4,28,3,6,53,1,0,29,0,0,58,1,176,0,4,0,2,220,0,130,0,0,0,0,0,0
0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,250,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,183,162,0,67,0,0,0,178,0,0,0,0,0,0
443,734,103,71,45,0,0,148,124,88,45,33,40,0,18,88,73,35,37,306,0,0,0,0,0,0
13,3,4,6,1,2,23,3,0,1,3,2,2,2,1,0,5,1,4,5,0,0,0,0,0,0
90,61,156,103,24,45,25,123,22,102,58,37,87,14,17,158,787,282,747,435,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,11,121,80,14,7,6,78,3,90,44,21,75,2,7,64,496,182,94,229,0,0,0,0,0,0
11,32,23,7,3,34,14,40,15,9,10,10,8,6,10,5,11,14,9,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,275,78,256,136,0,0,0,0,0,0
3,3,2,9,3,2,2,2,2,2,0,4,1,4,0,2,1,5,356,57,0,0,0,0,0,0
16,15,10,7,4,2,3,3,2,1,4,2,3,2,0,2,4,3,2,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,1522,875,1015,1042,668,909,802,397,259,221,809,784,551,570,875,684,877,509,863,0,0,0,0,0,0
495,105,126,224,24,57,125,28,96,22,20,329,19,85,18,174,23,34,33,39,0,0,0,0,0,0
47,25,19,12,13,34,17,20,23,12,12,17,7,10,18,86,10,19,20,20,0,0,0,0,0,0
184,0,75,204,0,12,92,0,0,0,0,0,0,66,0,0,0,1,0,2,0,0,0,0,0,0
142,1,0,0,0,0,4,0,0,0,1,305,2,0,0,0,7,2,0,5,0,0,0,0,0,0
8,13,9,7,11,11,12,8,4,10,7,7,10,9,0,9,6,11,13,12,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,66,23,1,0,0,0,0,69,0,0,0,0,0,0,79,0,1,0,0,0,0,0,0,0,0
110,111,10,46,29,12,2,50,77,146,100,161,250,69,335,51,182,39,120,97,0,0,0,0,0,0
110,111,10,46,29,12,2,50,77,146,100,161,250,69,335,51,182,39,120,97,0,0,0,0,0,0
223,493,129,149,194,54,163,85,8,17,73,145,58,100,119,189,218,295,246,491,0,0,0,0,0,0
31,5,38,13,80,19,79,2,3,2,3,8,55,2,4,69,161,83,9,92,0,0,0,0,0,0
12,7,33,5,23,1,12,5,4,5,3,0,2,89,17,0,7,4,34,6,0,0,0,0,0,0
18,138,0,4,1,5,53,78,1,9,67,137,1,9,5,53,35,87,40,340,0,0,0,0,0,0
162,343,58,127,90,29,19,0,0,1,0,0,0,0,93,67,15,29,0,42,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,163,11,0,0,0,0,0,0
